algorithm-1,algorithm-2,algorithm-3,algorithm-4,T1(n),T2(n),T3(n),T4(n)
2154,1019,896,496,3463,184,156,135
4362,797,736,192,11043,349,226,200
9757,1179,899,253,25523,564,295,265
13726,966,386,189,49153,829,364,330
2586,353,417,93,84183,1144,433,395
3779,457,538,95,132863,1509,501,460
4954,537,535,96,197443,1924,570,525
6621,748,707,97,280173,2389,638,590
8069,720,623,100,383303,2904,706,655
10179,880,742,106,509083,3469,774,720
12690,997,771,109,659763,4084,841,785
18909,1491,958,117,837593,4749,909,850
20455,1485,1074,125,1044823,5464,977,915
23887,1580,1043,130,1283703,6229,1044,980
27901,1760,1034,130,1556483,7044,1111,1045
31418,2046,1142,147,1865413,7909,1179,1110
36769,2110,1081,134,2212743,8824,1246,1175
42928,2331,1127,137,2600723,9789,1313,1240
48950,2723,1192,142,3031603,10804,1380,1305
